"","TAS_stat","CAD_stat","Link"
"GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS","16.899197924825","21.9576001326954","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS"
"GOBP_POSITIVE_REGULATION_OF_MACROMOLECULE_BIOSYNTHETIC_PROCESS","16.8215026741392","23.7790378379875","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_MACROMOLECULE_BIOSYNTHETIC_PROCESS"
"GOBP_CELLULAR_RESPONSE_TO_STRESS","14.6772583709161","14.509169088129","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELLULAR_RESPONSE_TO_STRESS"
"GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS","13.3080629709998","9.24337274564891","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS"
"GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION","12.0563762306551","16.2354072509159","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION"
"GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS","12.0037798369589","20.8871930641755","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS"
"GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II","11.8418357200665","17.4165224675059","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II"
"GOBP_NEGATIVE_REGULATION_OF_RNA_BIOSYNTHETIC_PROCESS","11.2551377544598","9.64355061917837","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_RNA_BIOSYNTHETIC_PROCESS"
"GOBP_EMBRYO_DEVELOPMENT","11.0072474219002","10.0195343819397","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EMBRYO_DEVELOPMENT"
"GOBP_CELL_CYCLE","10.6893777787567","15.310833072776","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_CYCLE"
"GOBP_PROTEOLYSIS","10.3999306086101","11.5960387770602","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PROTEOLYSIS"
"GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS","9.7940718602326","8.91573786671822","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS"
"GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND","9.7940718602326","19.8285793585671","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND"
"GOBP_ANIMAL_ORGAN_MORPHOGENESIS","9.7940718602326","5.5996343112177","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ANIMAL_ORGAN_MORPHOGENESIS"
"GOBP_TUBE_DEVELOPMENT","9.14657538471402","7.69228001960734","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TUBE_DEVELOPMENT"
"GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS","9.02307008285005","13.4642543792219","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS"
"GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION","9.01482586074357","13.8218394637323","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION"
"GOBP_VESICLE_MEDIATED_TRANSPORT","8.99021607898512","13.7619308127491","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_VESICLE_MEDIATED_TRANSPORT"
"GOBP_PHOSPHORYLATION","8.98888500520547","16.1163081120862","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PHOSPHORYLATION"
"GOBP_TUBE_MORPHOGENESIS","8.98888500520547","6.73257451165162","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TUBE_MORPHOGENESIS"
"GOBP_IMMUNE_RESPONSE","8.81902177966615","10.514637915898","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_IMMUNE_RESPONSE"
"GOBP_DNA_METABOLIC_PROCESS","8.49020536475087","2.78253811140604","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DNA_METABOLIC_PROCESS"
"GOBP_APOPTOTIC_PROCESS","8.46512084882393","13.9462130384324","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_APOPTOTIC_PROCESS"
"GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING","8.46512084882393","4.74985656589431","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING"
"GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT","8.43922741892761","13.2120075407164","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT"
"GOBP_CELL_CYCLE_PROCESS","8.43922741892761","10.0879720917835","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_CYCLE_PROCESS"
"GOBP_REGULATION_OF_CELL_DIFFERENTIATION","8.40221910552931","16.6604252172947","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_CELL_DIFFERENTIATION"
"GOBP_TISSUE_MORPHOGENESIS","8.38045325285494","5.1616731469587","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TISSUE_MORPHOGENESIS"
"GOBP_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION","8.3694103421592","19.3969530382437","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION"
"GOBP_REGULATION_OF_CATALYTIC_ACTIVITY","8.1936206994067","15.6744402447932","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_CATALYTIC_ACTIVITY"
"GOBP_EPITHELIUM_DEVELOPMENT","8.16994483750765","4.08936695612265","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIUM_DEVELOPMENT"
"GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS","8.13939926005266","8.94004315749031","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS"
"GOBP_CYTOSKELETON_ORGANIZATION","7.95692578828538","15.8552784193939","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CYTOSKELETON_ORGANIZATION"
"GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS","7.95692578828538","7.93440679934185","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS"
"GOBP_MITOTIC_CELL_CYCLE","7.95692578828538","8.00931426919554","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MITOTIC_CELL_CYCLE"
"GOBP_REGULATION_OF_RESPONSE_TO_STRESS","7.82097145324693","10.6227138254737","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_RESPONSE_TO_STRESS"
"GOBP_CELL_MOTILITY","7.78207285996104","10.6926852107326","http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY"
